,date,content
69,2022-10-31 06:13:03+00:00,"To all those people who call Indira Gandhi the iron woman
Kaan khol k suno sab
Agar yahi aurat apke mandir pr ya masjid pr ya Church pr attack karvayegi to tum kya kroge 
Is ko iron lady bologe k iron lady ke pr kalank?
#naverforget1984 https://t.co/ZwE8cXwueV"
70,2022-10-31 04:26:52+00:00,@JavedChaudhry_ Labaik k long march ay jab Khan nay attack krwaya tab kuty ki mout q mar gya tha tu knjr
71,2022-10-31 03:52:03+00:00,Popularity ka jin media khara krta hai jab leaders behis ho jaien guards dhakey dien. geo pe many times pti ghundon ne attack kia but geo group ki muhabbat kam nahi hoti khuda raa apni aur apne reporters ki respect krwaien Majeed Nazami was a symbol of courage Learn from his life https://t.co/FKUDA9uKM1
72,2022-10-31 02:39:29+00:00,Lol https://t.co/kBKNid01ww
73,2022-10-31 02:38:53+00:00,"@ImranRiazKhan Patwario hosh karo, itni dair ho gayi, koi bayan nahin aya, #imrankhanPTI per daal do yeh heart attack bhi"
74,2022-10-31 02:06:00+00:00,@ImranRiazKhan Koi neche aa k koi heart attack se phr b ye bhis govt khamosh kyu ni tere jase kuto ko pata daal rwhi
75,2022-10-30 23:25:34+00:00,My toxic trait is that if I like you imma love you hard regardless of your behavior towards me
76,2022-10-30 23:21:48+00:00,Why can’t we find people who love us just like we love them
77,2022-10-30 21:31:13+00:00,@sameedgillani1 Attack na karo
78,2022-10-30 20:27:07+00:00,One should have the ability to attack an idea without attacking the person.
79,2022-10-30 20:19:47+00:00,@majorgauravarya This is just a middle class movement led by a hero of whose stature you have none in your country. The people are fighting for a better Pakistan and for a change you should know this often happens In democracies. So don’t get too excited. Who knows you might get a heat attack
80,2022-10-30 20:08:32+00:00,Ye toh attack hai mere pe or wo bhi bohut bura wala🫤 :) https://t.co/kvYfFQ15Ax
81,2022-10-30 20:02:22+00:00,@AdamYearyNTWF Don't attack @BasedWorld960 like this
82,2022-10-30 19:59:38+00:00,@momina_awan123 ATTACK
83,2022-10-30 19:03:26+00:00,@AreebUlHaq3 hahaha yessss copycattt ab tumhari tarha tou nai ke delete krne ke drmay kroo aur phir download kr lloo hahaha kasa attack 🤣🤣🤣🤣
84,2022-10-30 18:23:06+00:00,These are not journalist madam these are tout of Israel and anti Pakistani they attack on Pak armed forces and our forces are our defenders our proud https://t.co/XOv70bAxy5
85,2022-10-30 18:22:48+00:00,@RiyaDiljeet These are not journalist madam these are tout of Israel and anti Pakistani they attack on Pak armed forces and our forces are our defenders our proud
86,2022-10-30 18:10:37+00:00,A sign of intelligence is the ability to attack an idea without attacking the person.
87,2022-10-30 17:43:17+00:00,We will win the big one next year ok? Ok.
88,2022-10-30 17:39:38+00:00,"On this day in 2006 a Drone attack at Chenegai, Bajawar Agency (Ex-Fata) left 69 Martyrs and several wounded. The Madrassa was striked when it was filled with students who had resumed studies after Eid Ul Fitr holidays. The affected families are still awaiting justice. 1/3 https://t.co/3URxuL4XjU"
89,2022-10-30 17:37:23+00:00,Me &amp; who https://t.co/eMQxgSFVzH
90,2022-10-30 17:12:04+00:00,@haleeeeem_ @flophairera @ferozekhaan No bro... Its not... If a say a girl.. Showing nawani husan.. Its considered as a personal attack.. So be on topic
91,2022-10-30 17:03:48+00:00,@PressTV Was this attack a diversion from ongoing protest in country ?
92,2022-10-30 16:49:42+00:00,"Quetta, attack on police post https://t.co/jQQLa3d0H6"
93,2022-10-30 16:46:39+00:00,Idk where she at! https://t.co/qjbo3Qwh9d
94,2022-10-30 16:46:11+00:00,Had gol gappay as comfort food cuz we out of the world cup👍🏻
95,2022-10-30 16:45:53+00:00,@unimohseeendown hahaha🤣🤣🤣mujah heart attack de diya ke ye tou mdcat kee bajai mbbs ka bacha h
96,2022-10-30 16:34:12+00:00,"Most Deserving in our group they have Good Bowling attack, best Batting Fire Power and a good fielding side too . #INDvsSA #PAKvsNED https://t.co/pCvkiedUTt"
97,2022-10-30 16:33:20+00:00,"Hate speech, online extremism fed Pelosi attack, believe terror experts https://t.co/SHFg9u4Kmj"
98,2022-10-30 15:43:15+00:00,@ZafarNaqviZN  Oo Yar Zafar Naqvi Sahb Ka b Pta Karroo Kahin Results Dekh k Heart attack e naa aa gaya ho https://t.co/o0pLUE2PAM
99,2022-10-30 15:32:29+00:00,@LahoreMarquez Yeh Rampal pe attack hae. I protest.
100,2022-10-30 15:30:29+00:00,@manihammad I don't think this would have worked. It was a good idea to attack to try and get wickets. Unlucky that didn't come off
101,2022-10-30 15:20:56+00:00,@chaii_rusk Thandi chuss but ok
102,2022-10-30 15:18:50+00:00,"Total explosion of attack and goals at the start of 2nd half ❤️
#Arsenal
#ARSNOT"
103,2022-10-30 15:17:25+00:00,Exactly. Pakistan entered t2o world cup with hypes of being one of semi finalist. Praises coming from everywhere. It's not that our team doesn't have potential. But great pace bowling attack isn't only what we need. I hope our Team will wash away our disappointments soon 🇵🇰 https://t.co/TfNfPDyawd
104,2022-10-30 14:58:08+00:00,"All the qualification scenarios will be in mud when SA rolls over us on Thursday 😭😭 Babar, Rizwan couldn't counter Muzarabbani and Nagarava, and you're telling me we'll somehow WIN against the attack of Rabada, Nortje and Nigidi. 

Nah man. Keep your hopes to yourself"
105,2022-10-30 14:55:39+00:00,"@Shoaib_Jatt G blkl Hara Skti hai
India ki Slow pace bowling agr upr se 3 out kr skti hai tu Pakistan ki World best Pace attack SA ko jldi b out kr skta hai or total defend krne ki b kabliyat rkhta hai"
106,2022-10-30 14:49:23+00:00,If I do all that for someone they just disappear lol https://t.co/3IVKNjRuGg
107,2022-10-30 14:45:24+00:00,"With that said, we do need a restart in our T20 approach as well. The next WC will be in Westindies &amp; conditions will suit us but we must adapt a fearless approach in batting. With our world class bowling attack we should be winning alot of games and that too consistently."
108,2022-10-30 14:41:36+00:00,"This will haunt us. Sad to see such a great bowling attack being let down by a mediocre batting performance and selection errors. Kudos to SA showing us how it's done in Perth. Miller, coming from a massive personal tragedy and showing mental strength to guide his team home. 🇿🇦👍🏼 https://t.co/Jk29MK6vY2"
109,2022-10-30 14:39:34+00:00,With resources they have got SA now seems to be one of the strong contenders for the title. Fiery pace attack + power hitting options 🔥
110,2022-10-30 14:38:20+00:00,Sharab tou pee ni sakte tou gol gappe khalete hain
111,2022-10-30 14:35:31+00:00,Ky yaaaaaaaar
112,2022-10-30 14:34:49+00:00,Are we out of the tournament? :(
113,2022-10-30 14:28:44+00:00,Heart 💗 attack
114,2022-10-30 14:28:35+00:00,"@merry8989 @AvinashArya09 Butter or out of form stokes nai tha baqe to thy na?
Aus k Sath moqa nai Mila
Baqe I won't stop appreciating my bowling attack bcz ghr p beth k fzoliyat bolne or stadium m jakar perform krne m frq h,and I hope Pakistan team k batting b sudhar jaye.
We don't want plastic fans."
115,2022-10-30 14:08:11+00:00,2013 kay dharnay main bhi ik khatoon reporter ko dharna main heart attack hoa tha she died on spot.
116,2022-10-30 14:05:43+00:00,@ArslanNaseerCBA 2nd attack ka time h ab😂😂
117,2022-10-30 12:56:54+00:00,DAMN THIS BOWLING ATTACK FROM ARSHDEEP
118,2022-10-30 12:50:40+00:00,Even india can’t play this balling attack.. Pak who🥲
119,2022-10-30 12:49:39+00:00,"I am just wondering how Pakistanis batters will face this South African pace attack...👀 and vice versa 😜🔥👀

#PAKvsNED #INDvsSA https://t.co/x1RSVqS5aJ"
