,date,content
48,2022-08-07 09:51:03+00:00,"Gaza is under attack, Again Israel's attacked &amp; killed innocent Muslims. 😭

Ya Allah help's them &amp; protect them from the enemies. 🤲 https://t.co/vm4KQDeuR1"
49,2022-08-03 10:20:48+00:00,"@beingarun28 52 साल तक तिरंगा न फहराने वाले 
तिरंगे फहराने का ज्ञान दे रहे है

@RSSorg को heart attack न हो जाए 
         
            ""राम नाम सत्य है"""
50,2022-07-30 02:10:53+00:00,"Always chant the mantra given by
the satguru. As a result of which,
kaal will not be able to attack you.
Sant Rampal Ji Maharaj 
#GodMorningSaturday https://t.co/oS4XlMcBPN"
51,2022-06-19 04:19:23+00:00,@AmishaSahani1 Direct Attack
52,2022-05-20 02:28:26+00:00,"Taking too much stress is not good for health, and Not everyone is aware of it. People who are the most stressed are more likely to have a heart attack 💔.
#FridayFitness tips for us by Saint Gurmeet Ram Rahim Ji https://t.co/dQb48KfHYF"
53,2022-05-13 08:47:26+00:00,"More than 10 armed Israeli military goons attack a 13-year-old deaf Palestinian girl in Jerusalem. These outrages are routine and have been perpetrated for over 70 years.
Where is the outrage in the British corporate media? Why do our politicians stay silent?@zarahsultana @Ilhan https://t.co/MbuIRhRAdz"
54,2022-05-10 07:25:49+00:00,"8th Shawwal,
April 21, 1925,
The founder of Saudi dynasty dared to attack &amp; demolish one of the holiest Islamic sites in the world, the sacred shrines of Fatima Zahra ص, Imam Hasan, Zain ul Abideen, Mohammad Baqir &amp; Jafar Sadique ع &amp; govt. banned the Muslims to reconstruct it.💔"
55,2022-05-08 05:05:53+00:00,"@Surajkumar650 Hindus are on target👇

😰Mob lynching of Palgarh Sadhus

😰False accusations on Hindu Saints like Sant Shri Asharamji Bapu &amp; Swami Nityanand

😰Murder of Hindus in Bengal

😰Attack on Ram Mandir

😰....Many More

Hindus Must Unite against this violence
#StopViolenceAgainstHindus https://t.co/9aN52OdAP8"
56,2022-05-06 02:00:38+00:00,"According to Saint Gurmeet Ram Rahim Ji if you are regularly physically active, you may:
◾️Reduce your risk of a heart attack. 
◾️Manage your weight better.
◾️Have a lower blood cholesterol level.
◾️Lower the risk of type 2 diabetes and some cancers.
#FridayFitness https://t.co/QA9pJtYGRB"
57,2022-04-29 04:51:05+00:00,"All was a pre-planned attack, we as Pro - Bharat pages and users getting gift from #Instagram to talk about our culture, Nation and Dharma 🙂, More than 200+ including me (trendyy_zoop) Pro Bharat Pages suspended by instagram 3 Days Back.@TajinderBagga
#Instagramagainstfreespeech"
58,2022-04-26 16:26:04+00:00,A bomb blast inside Karachi University in Pakistan kills five including three Chinese nationals.Baloch Liberation Army (BLA) claims responsibility for the Suicide attack targeting Chinese nationals in Karachi.Says it was carried out by the group's first female attacker. https://t.co/9NuaKDNIde
59,2022-04-22 05:57:45+00:00,"Terrorist attack on the school in peshawar ,Pakistan in 2015.
बच्चे तो बच्चे ही होते हैं,चाहे कोई से भी मुल्क केे हो.
कुछ panktiya मेरी कलम से..🙏 https://t.co/uFDmZqYn3x"
