,date,content
47,2022-01-16 18:00:03+00:00,"@ianuragthakur 
You people are holding national ministries but still lack in doing work for people.
I'm the future of India,I'll try my level best to improve India no matter what happens.
I'm ready to die for my country in any way ,be it a political attack or something .
Are you?"
48,2022-01-04 13:33:45+00:00,Ye achanak se Indian team ke bowling attack me 83 wali windies ki aatma kaha se aa gyi hai!😂🔥
49,2021-11-06 12:11:35+00:00,"@Asthakaushik05 Leave it madam,. Actually this @sanket doing his job as assigned by @ndtv @PrannoyRoyNDTV for which he gets money. They know everything but always attack  🕉 🛕 Hindu for their bread and butter."
50,2021-10-29 07:16:55+00:00,"@rakeshfilm @sushant_says It is not that they don't want you to eat food of your choice. These statements are the testaments to keep bhakts alive and consistent in their Andhbhakti.
Now after this statement, few rallies would be there, few bhakts will attack pizza shops, after few days business as usual."
51,2021-10-28 13:03:09+00:00,"protest gathering at AMU against anti-Muslim attacks, communal violence, desecration of mosques, attack on Muslim properties in Tripura.
#TripuraViolence 
#SaveTripuraMuslims
#TripuraRiots
#Islamophobia_in_india https://t.co/tiQjuJUTwq"
52,2021-10-23 06:17:17+00:00,"Bangladeshi Hindu under attack 
#SaveBangladeshiHindus
https://t.co/ddnibVx2X2
@OFFICIAL_RAI_"
53,2021-10-23 06:06:36+00:00,"Radicals are using their religious book as a weapon to attack non-muslims in name of blasphemy &amp; later play Islamophobia victim card. 
#SaveBangladeshiHindus
https://t.co/pGvGMo1Ewy
@OFFICIAL_RAI_"
54,2021-09-16 22:12:05+00:00,"Vaccine say bohat Mott ho rahi hai.
Chote chote bachcho or jawano  ko attack aa rahe .
Pta nahi dbai hai ya jhar..
#fakevaccine https://t.co/8raYMEE85s"
55,2021-09-10 13:17:05+00:00,"#SolutionToSuicide
Read Jeene Ki Raah

Excessive stress leads to heart attack and destroys a man's family. Such a situation should never come to life. Before that, order a free book today to ""The Way of Living"" and make your life happier.

Visit us- Satlok Ashram YouTube Channel https://t.co/vnNOs95crs"
56,2021-09-02 09:43:39+00:00,"It's really shocking.
Siddharth passed away bcoz of heart attack.💔💔
(Last year #SushantSinghRajput now #SiddharthShukla)💔🙏
#RIPSiddharthShukla
#RestInPeace https://t.co/ap2uxqSubh"
57,2021-07-18 04:30:30+00:00,"Your home is under attack! 
Protect it with Green Cross pest control services. @ Green Cross Pest  Control Services https://t.co/BNBLJ0j8Y1"
58,2021-06-30 05:37:49+00:00,"हार्ट अटैक से एक्टर मंदिरा बेदी के पति की राज कौशल की मौत

Actress Mandira Bedi's husband Raj Kaushal passed away this morning due to heart attack. https://t.co/sbTxCi0NqF"
59,2021-06-14 00:33:55+00:00,"Pehle BJP ke Gunde Musalmaano pe Attack krte thee lekin Ab AAP ke bhi gunde ussi raste pe chalne lage

AAP goons not only attacked Muslim family but also used Anti-Muslim Slurs against them

@KhanAmanatullah @AtishiAAP 
@ImranHussaain @AbdulrehmanMLA @SanjayAzadSln @AamAadmiPart https://t.co/ZLDFpRcwt8"
60,2021-06-02 17:09:47+00:00,"A pediatrician Dr. Deepak was brutally assault in wht cn be said to be a planned attack, by relatives of a deceased child. The doctor couldn't save the child nd hence this is the reward he got form their relatives. 
@incindia
@bjp4india
@sonu_sood
@narendramodi 
@myogi_adityanath https://t.co/pP4bjUBTMo"
61,2021-05-15 16:58:05+00:00,"India Wale Kab Aayenge Sadko Pe?
#Gaza_Under_Attack https://t.co/EOau0bQFek"
62,2021-05-15 12:57:50+00:00,Nikal aaye sabhi bil se bahar #Gaza_Under_Attack
63,2021-05-15 08:27:16+00:00,@ReallySwara Isril under attack aunty
64,2021-05-15 05:46:19+00:00,#ISupportIsrael Israel is doing what actually they have to do. India should learn from Israel🇮🇱. #IndiaStandsWithIsrael philisteen should be demolished totally. So then all attack will be stop for longer period.
65,2021-05-11 23:10:48+00:00,"4:40  AM
#Gaza_under_attack_now https://t.co/u3Mw0tSHle"
66,2021-05-11 23:03:14+00:00,"Now in the middle of the Gaza Strip, many wounded and martyrs.
#Gaza_under_attack"
67,2021-05-02 10:09:04+00:00,"T. 148

Congratulations Mamta Didi and TMC..🙂

You Faught Tirelessly and sustained all vilifying attack to emerge victorious..!!

All The Best For Development of WB

Good Luck 😃 https://t.co/cfFsC2t13x"
68,2021-04-29 18:24:00+00:00,"@abhi1thakur It's easy to comment on situation by sitting far away in another country. If you really wanna do something then atleast spread positivity, positive content...
People are already in a not so good mental state... Don't be a reason for someone's panic attack
Take care and be safe."
69,2021-04-29 16:51:26+00:00,"What @DelhiCapitals do with every bowling attack is called brutal murder!😂🔥
Keep going strong @SDhawan25 @PrithviShaw 🔥💯"
70,2021-04-19 06:39:59+00:00,@its_me_deepika_ @_tanmay1 @SushantBSinha Pulwama attack per jashan manane wale bhi patalkar h ??
71,2021-04-14 17:19:39+00:00,"@Arpita03487482 @naushadpathan91 @RohitMauryabjp @sudhirchaudhary @dna Uri attack,pathankot, parliament attack, chhattisgarh naxals attack ye ek do attack h ."
72,2021-04-14 17:14:16+00:00,@Arpita03487482 @naushadpathan91 @RohitMauryabjp @sudhirchaudhary @dna Pulwama attack ki investigation kyu nhi hui ab tak ?
73,2021-04-05 08:20:25+00:00,"22 security personnel have lost their lives in the Naxal attack at Chhattisgarh .
The nation will always remember for their supreme sacrifice.. https://t.co/RehLBRUASu"
74,2021-04-01 04:52:51+00:00,"Has anyone heard about the mob attack on a Dalits in Valmiki Basti of Sarai Kale Khan, Delhi?

The mob attacked because Sumit, a Dalit Hindu, married a Muslim girl, against her parents' wish

#SupportSumitBalmiki  PA1"
75,2021-03-28 05:21:04+00:00,"Uttar Pradesh: Muslim men attempt to rape Dalit women and a minor, attack them with axes and firearms

https://t.co/CSI1C2iA4x #भीम_मीम_धोखा_है  PA3"
76,2021-03-25 08:22:57+00:00,@PiyushK16726144 @DChaurasia2312 Ave andhbhakt me ye bol rha hu ki Arnab ki kutai kab hogi jisne Pulwama attack celebrate kiya tha .
77,2021-03-22 05:41:41+00:00,@Jignesh70671533 @PrinceK96972189 @AamAadmiParty @ArvindKejriwal Tere in dono baap ne hi Pulwama attack karaya tha . https://t.co/b7pWayjmOL
78,2021-03-20 19:19:30+00:00,@mirchangalib3 @AcharyaPramodk Kafi had tak to sahi bol rahe ho aap  .lekin ye media kisi ki bhi image kharab kr deti hai.Pulwama attack ki bhi investigation kyu nhi hui ?
79,2021-03-20 16:38:43+00:00,@MarwariPatel @asadowaisi In Pulwama attack Arnab chats are the sufficient proof but no action taken by central gov. https://t.co/FrlHGqAo2Z
80,2021-03-20 16:03:26+00:00,@MamtaYadav @PragyaLive @AUThackeray Ek baat poochu aunty ji Pulwama attack me hamare 40 +soldiers shaheed hue wo bhi politicians ki wajah se uska to kuch nhi hua .Aur na hi is dalal anchor ka kuch hua. https://t.co/3IMz3XSt2Y
81,2021-03-11 16:34:33+00:00,@AITCofficial @MamataOfficial Nevar accepted this lady because being a cm how can anyone attack its nothing but a sympathy appeal for the voters
82,2021-03-07 09:59:07+00:00,"This is so  Vintage @narendramodi attack him &amp; he will come more aggressively after you.

The dost &amp; my gareeb dost analogy counter top class 👌🇮🇳
#ModirSatheBrigade"
83,2021-02-14 08:12:44+00:00,"2 years of Pulwama attack: A look back at India's 'Black Day' when 40 soldiers were martyred

#PulwamaAttack #PulwamaTerrorAttack #PulwamaMartyrs https://t.co/CYIomX8cOX"
84,2021-02-14 07:22:29+00:00,14 February pulwama Attack... Black Day for my india #Pulwama #BlackDay #14FebPulwamaBravehearts #PulwamaTerrorAttack #IndianArmy
85,2021-02-14 06:27:54+00:00,"Today is the second anniversary of Pulwama attack.  Tearful tributes to the martyrs🇮🇳🇮🇳❤️❤️

#BlackDay #JaiHind #14FebPulwamaBravehearts #IndianArmy #BlackDayForIndia"
86,2021-02-14 05:52:15+00:00,"Feb 14, 2019 a suicide bomber crashes a car packed with 300kg of explosives into a convoy of  CRPF, killing more than 40 CRPF jawans and injuring at least 70. The terror attack took place in Pulwama, about 20km from Srinagar,capital of Jammu&amp; Kashmir. #14FebPulwamaBravehearts"
87,2021-02-14 05:50:30+00:00,"February 15 (Friday)Jaish-e-Mohammad claims responsibility for the bombing and also released a video in which the bomber, Adil Ahmad Dar, a 20-year-old school dropout,  said he hoped to reach heaven by means of his attack on the Indian convoy.  #14FebPulwamaBravehearts"
88,2021-02-14 05:48:52+00:00,February 16 (Saturday )India weighs options after Kashmir attack: Diplomatic isolation and military strikes discussed amid domestic pressure to respond in kind to Pulwama terror attack. #14FebPulwamaBravehearts
89,2021-02-14 05:47:20+00:00,"India hikes the customs duty to 200 per cent on all goods imported from Pakistan, following revocation of the MFN status in the aftermath of the Pulwama terror attack, Finance Minister Arun Jaitely states in a tweet. #14FebPulwamaBravehearts"
90,2021-02-14 05:45:41+00:00,"February 22 (Friday)India's Union minister Nitin Gadkari says in New Delhi that India has decided to ""stop"" the flow of its share of water to Pakistan from rivers under the Indus Waters Treaty (IWT) after the Pulwama terror attack. #14FebPulwamaBravehearts"
91,2021-02-14 05:44:08+00:00,"February 25 (Monday):India’s National Intelligency Agency (NIA) identifies vehicle used in carrying out the attack in Pulwama. “The owner of the vehicle is identified as Sajjad Bhat, who has joined Jaish-e-Mohammed terror outfit”, NIA spokesman says #14FebPulwamaBravehearts"
92,2021-02-14 05:43:21+00:00,"February 26 (Tuesday)12 Indian Air Force Mirage 2000 jets drop 1,000 kg bombs on suspected Jaish-e-Mohammed camps across the Line of Control (LoC) in Balakot, Pakistan  at 3.30am.This was followed by the Pulwama attack #14FebPulwamaBravehearts"
